GRP	ROOM	CLASS	DATE	MEAS	PARAM	SITE	BLOCK	REP	RES
FF	505	ISO8	2/14/2013	TP	5	A2	1	1	3
FF	505	ISO8	2/18/2013	TP	5	A2	1	1	0
FF	505	ISO8	2/25/2013	TP	5	A2	1	1	2
FF	505	ISO8	3/4/2013	TP	5	A2	1	1	4
FF	505	ISO8	3/15/2013	TP	5	A2	1	1	6
FF	505	ISO8	3/27/2013	TP	5	A2	1	1	0
FF	505	ISO8	1/2/2013	TP	0.5	A2	1	2	15
FF	505	ISO8	1/7/2013	TP	0.5	A2	1	2	2
FF	505	ISO8	1/17/2013	TP	0.5	A2	1	2	44
FF	505	ISO8	1/22/2013	TP	0.5	A2	1	2	2
FF	505	ISO8	1/28/2013	TP	0.5	A2	1	2	6
FF	505	ISO8	2/5/2013	TP	0.5	A2	1	2	2
FF	505	ISO8	2/14/2013	TP	0.5	A2	1	2	5
FF	505	ISO8	2/18/2013	TP	0.5	A2	1	2	0
FF	505	ISO8	2/25/2013	TP	0.5	A2	1	2	18
FF	505	ISO8	3/4/2013	TP	0.5	A2	1	2	33
FF	505	ISO8	3/15/2013	TP	0.5	A2	1	2	82
FF	505	ISO8	3/27/2013	TP	0.5	A2	1	2	0
FF	505	ISO8	1/2/2013	TP	5	A2	1	2	0
FF	505	ISO8	1/7/2013	TP	5	A2	1	2	0
FF	505	ISO8	1/17/2013	TP	5	A2	1	2	2
FF	505	ISO8	1/22/2013	TP	5	A2	1	2	0
FF	505	ISO8	1/28/2013	TP	5	A2	1	2	0
FF	505	ISO8	2/5/2013	TP	5	A2	1	2	0
FF	505	ISO8	2/14/2013	TP	5	A2	1	2	0
FF	505	ISO8	2/18/2013	TP	5	A2	1	2	0
FF	505	ISO8	2/25/2013	TP	5	A2	1	2	9
FF	505	ISO8	3/4/2013	TP	5	A2	1	2	4
FF	505	ISO8	3/15/2013	TP	5	A2	1	2	11
FF	505	ISO8	3/27/2013	TP	5	A2	1	2	0
FF	505	ISO8	1/2/2013	TP	0.5	A2	1	3	9
FF	505	ISO8	1/7/2013	TP	0.5	A2	1	3	11
FF	505	ISO8	1/17/2013	TP	0.5	A2	1	3	54
FF	505	ISO8	1/22/2013	TP	0.5	A2	1	3	4
FF	505	ISO8	1/28/2013	TP	0.5	A2	1	3	2
