Rm Date	TYMC
165	39979	0
165	39979	0
165	39979	0
165	39979	0
165	39979	0
165	39979	0
165	39979	0
165	39979	0
165	39979	0
165	39979	0
165	39979	0
164	39980	0
164	39980	0
164	39980	0
164	39980	0
164	39980	0
164	39980	0
164	39980	0
164	39980	0
164	39980	0
164	39980	0
130	39981	0
164	39981	0
164	39981	0
164	39981	0
164	39981	0
164	39981	0
164	39981	0
164	39981	0
164	39981	0
164	39981	0
164	39981	0
119	39982	1
119	39982	0
138	39982	0
138	39982	0
139	39982	0
139	39982	0
140	39982	0
140	39982	0
141	39982	0
141	39982	0
150	39982	0
150	39982	0
151	39982	0
151	39982	0
160	39982	0
160	39982	0
160	39982	0
161	39982	0
161	39982	0
161	39982	0
161	39982	0
162	39982	0
162	39982	0
162	39982	0
163	39982	0
163	39982	0
163	39982	0
163	39982	0
163	39982	0
163	39982	0
164	39982	0
164	39982	0
164	39982	0
164	39982	0
164	39982	0
147B	39982	0
147B	39982	0
130	39983	0
132	39983	0
133	39983	0
136	39983	0
136	39983	0
137	39983	5
137	39983	0
165	39984	0
165	39984	0
165	39984	0
165	39984	0
165	39984	0
165	39984	0
132	39986	0
133	39986	0
136	39986	0
136	39986	0
137	39986	0
137	39986	0
137	39986	0
137	39986	0
164	39986	0
164	39986	0
164	39986	0
164	39986	0
164	39986	0
164	39986	0
164	39986	0
164	39986	0
164	39986	0
164	39986	0
165	39986	0
165	39986	0
165	39986	0
165	39986	0
165	39986	0
165	39986	0
165	39986	0
165	39986	0
165	39986	0
165	39986	0
165	39986	0
165	39986	0
165	39986	0
165	39986	0
165	39986	0
165	39986	0
165	39986	0
165	39986	0
165	39986	0
165	39986	0
130	39987	0
130	39987	0
132	39987	0
133	39987	0
164	39987	0
164	39987	0
164	39987	0
164	39987	0
164	39987	0
164	39987	0
164	39987	0
164	39987	0
164	39987	0
164	39987	0
164	39988	0
164	39988	0
164	39988	0
164	39988	0
164	39988	0
164	39988	0
164	39988	0
164	39988	0
164	39988	0
164	39988	0
130	39989	0
141	39989	0
141	39989	0
141	39989	0
141	39989	0
165	39989	0
165	39989	0
165	39989	0
165	39989	0
165	39989	0
165	39989	0
165	39989	0
165	39989	0
165	39989	0
165	39989	0
119	39990	1
119	39990	0
119	39990	6
119	39990	0
138	39990	0
138	39990	0
138	39990	0
138	39990	0
139	39990	0
139	39990	0
140	39990	0
140	39990	0
140	39990	0
140	39990	0
150	39990	0
150	39990	0
150	39990	0
150	39990	0
151	39990	0
151	39990	0
151	39990	0
151	39990	0
160	39990	0
160	39990	0
160	39990	0
160	39990	0
160	39990	0
160	39990	0
161	39990	0
161	39990	0
