Rm	Date	part_5
144	39932	207
144	39932	320
144	39932	269
146	39932	47
146	39932	47
146	39932	27
146	39932	438
146	39932	268
146	39932	68
146	39933	579
146	39933	271
146	39933	10
146	39933	86
146	39933	78
146	39933	3
146	39933	579
146	39933	271
146	39933	10
142	39934	0
142	39934	0
143	39934	1073
144	39934	54
144	39934	72
144	39934	17
146	39934	102
146	39934	34
146	39934	3
146	39934	145
146	39934	117
146	39934	8
158	39934	0
129	39935	0
135	39935	0
133	39937	0
142	39938	39
142	39938	16
142	39938	0
142	39938	177
158	39938	33
129	39940	3
142	39940	55
142	39940	39
142	39940	0
142	39940	38
142	39940	24
142	39940	3
143	39941	323
144	39941	0
144	39941	196
144	39941	115
146	39941	334
146	39941	188
146	39941	40
153	39941	0
153	39941	0
156	39941	0
143	39942	24
144	39942	123
144	39942	214
144	39942	65
129	39945	1
133	39945	0
142	39945	56
142	39945	35
144	39945	677
144	39945	981
144	39945	608
146	39945	336
146	39945	212
146	39945	27
146	39945	28
146	39945	32
146	39945	8
153	39945	0
146	39946	90
146	39946	4
146	39946	13
146	39946	166
146	39946	8
146	39946	114
147	39946	175
147	39946	350
146	39947	82
146	39947	36
146	39947	25
146	39947	100
146	39947	32
146	39947	5
146	39947	82
146	39947	36
146	39947	25
146	39947	100
146	39947	32
146	39947	5
147	39947	242
147	39947	202
153	39947	0
156	39947	34
158	39947	23
129	39948	0
135	39948	0
156	39948	1
142	39949	13
142	39949	9
143	39949	40
144	39949	35
144	39949	122
144	39949	47
129	39951	0
135	39951	0
156	39951	4
142	39952	23
142	39952	5
143	39952	1969
144	39952	39
144	39952	88
144	39952	52
129	39953	0
133	39953	0
153	39953	1
133	39954	0
133	39954	0
146	39954	197
146	39954	116
146	39954	36
146	39954	84
146	39954	33
146	39954	21
147	39954	199
147	39954	80
147	39954	97
147	39954	43
153	39954	0
158	39954	206
135	39955	0
142	39955	23
142	39955	13
143	39955	83
144	39955	63
144	39955	338
144	39955	166
153	39955	0
156	39955	0
158	39955	16
129	39959	0
129	39959	0
135	39959	0
146	39959	723
146	39959	160
146	39959	34
147	39959	42
147	39959	26
147	39959	143
147	39959	47
156	39959	0
129	39961	0
133	39961	0
142	39961	19
142	39961	4
143	39961	32
144	39961	59
144	39961	70
144	39961	35
146	39961	30
146	39961	21
146	39961	11
153	39961	0
158	39961	116
133	39962	0
135	39962	0
142	39962	15
142	39962	11
143	39962	12
144	39962	18
144	39962	60
144	39962	45
146	39962	49
146	39962	0
146	39962	2
147	39962	25
147	39962	9
156	39962	7
158	39962	21
135	39963	0
129	39965	6
135	39965	0
147	39965	117
147	39965	0
147	39965	0
147	39965	0
147	39965	101
147	39965	0
147	39965	1
156	39965	0
147	39966	213
147	39966	0
147	39966	0
147	39966	42
147	39966	0
147	39966	0
129	39967	0
133	39967	0
146	39967	310
146	39967	97
146	39967	55
146	39967	218
146	39967	118
146	39967	42
153	39967	0
133	39968	0
142	39968	3
142	39968	3
143	39968	1858
144	39968	5
144	39968	18
144	39968	16
146	39968	140
146	39968	10
146	39968	9
146	39968	29
146	39968	31
146	39968	1
147	39968	104
147	39968	0
147	39968	0
153	39968	0
158	39968	25
135	39969	0
146	39969	268
146	39969	232
146	39969	684
146	39969	370
146	39969	153
146	39969	70
147	39969	225
147	39969	49
147	39969	58
147	39969	18
156	39969	2
158	39969	81
142	39970	33
142	39970	152
143	39970	75
144	39970	33
144	39970	11
144	39970	301
135	39972	1
146	39972	80
146	39972	104
146	39972	22
146	39972	77
146	39972	9
146	39972	39
147	39972	177
147	39972	0
147	39972	1
147	39972	0
147	39972	126
147	39972	0
147	39972	0
147	39972	0
147	39972	145
147	39972	3
147	39972	3
147	39972	150
147	39972	0
147	39972	0
156	39972	1
158	39972	64
129	39973	0
135	39973	0
146	39973	77
146	39973	93
146	39973	28
146	39973	258
146	39973	45
146	39973	17
147	39973	329
147	39973	386
156	39973	0
142	39974	31
142	39974	17
143	39974	103
144	39974	132
144	39974	295
144	39974	53
129	39975	0
133	39975	0
142	39975	0
142	39975	15
142	39975	8
142	39975	4
142	39975	15
142	39975	22
142	39975	22
142	39975	12
142	39975	34
142	39975	78
153	39975	0
133	39976	0
146	39976	113
146	39976	55
146	39976	25
146	39976	43
146	39976	2
146	39976	64
147	39976	103
147	39976	28
147	39976	200
147	39976	67
147	39976	92
147	39976	46
147	39976	15
147	39976	11
153	39976	0
158	39976	2
143	39977	148
144	39977	50
144	39977	35
144	39977	23
133	39979	0
146	39979	82
146	39979	78
146	39979	5
146	39979	192
146	39979	13
146	39979	17
147	39979	70
147	39979	55
147	39979	67
147	39979	63
153	39979	0
158	39979	83
135	39980	0
144	39980	105
144	39980	120
144	39980	66
146	39980	79
146	39980	47
146	39980	22
146	39980	57
146	39980	38
146	39980	15
147	39980	85
147	39980	68
147	39980	2
147	39980	1
158	39980	48
129	39981	0
135	39981	0
143	39981	202
146	39981	258
146	39981	42
146	39981	89
146	39981	106
146	39981	20
146	39981	16
147	39981	342
147	39981	17
147	39981	54
147	39981	41
156	39981	0
146	39982	153
146	39982	59
146	39982	43
146	39982	14
146	39982	126
146	39982	18
147	39982	79
147	39982	0
147	39982	0
147	39982	141
147	39982	0
147	39982	3
147	39982	0
147	39982	68
147	39982	58
147	39982	101
147	39982	78
156	39982	4
129	39983	0
133	39983	0
147	39983	170
147	39983	40
147	39983	33
147	39983	33
153	39983	0
142	39984	8
142	39984	16
143	39984	29
144	39984	73
144	39984	341
144	39984	175
129	39986	0
129	39986	0
133	39986	0
133	39986	0
142	39986	54
142	39986	6
143	39986	121
146	39986	33
146	39986	26
146	39986	8
146	39986	36
146	39986	18
146	39986	9
147	39986	118
147	39986	70
147	39986	21
147	39986	47
153	39986	1
153	39986	1
133	39987	0
144	39987	38
144	39987	107
144	39987	51
147	39987	61
147	39987	7
147	39987	5
147	39987	5
147	39987	58
147	39987	30
147	39987	95
147	39987	17
153	39987	0
158	39987	77
135	39988	0
147	39988	300
147	39988	60
147	39988	60
147	39988	82
156	39988	0
129	39989	0
135	39989	0
143	39989	163
144	39989	414
144	39989	340
144	39989	139
146	39989	162
146	39989	96
146	39989	24
146	39989	156
146	39989	15
146	39989	117
146	39989	162
146	39989	74
146	39989	27
156	39989	0
158	39989	0
142	39990	1
142	39990	3
146	39990	84
