Rm	Date	Read1	Read2	Read3	MEAN
132	39967	148	80	65	98
133	39967	38	38	35	37
133	39967	16	37	44	32
133	39967	18	9	0	9
153	39967	38	36	59	44
153	39967	174	129	65	123
153	39967	142	92	32	89
154	39967	167	23	17	69
164	39967	4	0	0	1
164	39967	3	0	0	1
147A	39967	86	22	68	59
147A	39967	125	37	57	73
126	39968	224	146	91	154
127	39968	50	39	25	38
127	39968	24	9	4	12
127	39968	26	39	51	39
132	39968	83	22	54	53
133	39968	108	43	20	57
133	39968	51	24	51	42
133	39968	104	110	77	97
143	39968	28	7	6	14
145	39968	26	38	134	66
153	39968	259	55	22	112
153	39968	44	38	52	45
153	39968	31	28	25	28
154	39968	61	45	18	41
157	39968	20	14	1	12
159	39968	18	25	2	15
159	39968	35	1	0	12
164	39968	8	87	0	32
164	39968	0	0	0	0
147A	39968	108	3	15	42
147A	39968	29	13	9	17
126	39969	68	56	24	49
127	39969	13	21	14	16
127	39969	9	5	10	8
127	39969	3	2	1	2
134	39969	207	38	43	96
135	39969	3	9	8	7
135	39969	10	6	9	8
135	39969	19	18	18	18
152	39969	128	170	199	166
156	39969	6	2	2	3
156	39969	2	0	7	3
157	39969	15	6	3	8
159	39969	20	2	0	7
159	39969	0	0	0	0
164	39969	0	0	0	0
164	39969	0	0	0	0
147A	39969	11	1	2	5
147A	39969	19	16	10	15
143	39970	142	41	51	78
145	39970	440	200	49	230
126	39972	183	140	340	221
127	39972	35	28	9	24
127	39972	73	44	18	45
127	39972	30	12	17	20
134	39972	43	13	12	23
135	39972	6	4	3	4
135	39972	23	5	6	11
135	39972	31	12	22	22
145	39972	743	410	306	486
152	39972	45	113	141	100
156	39972	579	175	40	265
156	39972	32	27	1	20
157	39972	2	2	0	1
159	39972	872	496	246	538
159	39972	34	51	56	47
164	39972	0	3	0	1
164	39972	3	0	1	1
147A	39972	276	161	130	189
147A	39972	269	208	199	225
147A	39972	38	34	94	55
147A	39972	38	34	94	55
128	39973	213	144	129	162
129	39973	39	37	18	31
129	39973	9	7	18	11
129	39973	17	15	81	38
131	39973	32	34	28	31
131	39973	24	206	15	82
131	39973	11	9	2	7
134	39973	26	71	56	51
135	39973	84	31	54	56
135	39973	19	16	14	16
135	39973	19	9	9	12
152	39973	74	45	119	79
156	39973	10	21	16	16
156	39973	85	65	24	58
164	39973	0	0	0	0
147A	39973	65	15	9	30
143	39974	112	40	34	62
145	39974	253	95	34	127
128	39975	281	74	74	143
129	39975	89	262	154	168
129	39975	20	34	67	40
129	39975	30	9	5	15
131	39975	65	7	3	25
131	39975	194	98	68	120
131	39975	248	81	16	115
132	39975	90	67	46	68
133	39975	205	80	29	105
133	39975	77	57	57	64
133	39975	22	66	62	50
153	39975	70	78	24	57
153	39975	17	31	25	24
153	39975	7	88	9	35
154	39975	20	44	31	32
126	39976	134	214	267	205
127	39976	26	10	5	14
127	39976	73	8	15	32
127	39976	10	4	38	17
132	39976	414	416	890	573
133	39976	6	6	7	6
133	39976	13	34	64	37
133	39976	66	15	13	31
153	39976	121	50	178	116
153	39976	16	41	10	22
153	39976	21	20	30	24
154	39976	396	328	67	264
157	39976	222	119	30	124
159	39976	2	1	0	1
159	39976	0	0	0	0
164	39976	0	0	0	0
164	39976	0	0	0	0
147A	39976	266	94	67	142
147A	39976	68	84	35	62
147A	39976	53	40	6	33
147A	39976	269	148	67	161
143	39977	30	35	27	31
145	39977	119	33	14	55
126	39979	117	150	113	127
127	39979	56	20	9	28
127	39979	23	74	78	58
127	39979	99	36	28	54
132	39979	248	98	45	130
133	39979	11	46	4	20
133	39979	11	42	97	50
133	39979	7	9	7	8
153	39979	150	30	59	80
153	39979	13	20	9	14
153	39979	21	11	30	21
154	39979	309	83	36	143
157	39979	13	1	3	6
159	39979	0	0	0	0
159	39979	10	4	2	5
147A	39979	365	155	46	189
147A	39979	85	26	14	42
164T	39979	0	0	0	0
164T	39979	0	0	0	0
134	39980	453	153	76	227
135	39980	33	39	15	29
135	39980	29	67	50	49
135	39980	2	24	17	14
157	39980	90	103	71	88
164	39980	0	0	0	0
164	39980	0	0	0	0
147A	39980	26	28	17	24
147A	39980	43	35	53	44
126	39981	185	87	129	134
127	39981	737	365	59	387
127	39981	57	70	44	57
127	39981	14	12	20	15
128	39981	155	81	67	101
129	39981	43	56	125	75
129	39981	20	3	3	9
129	39981	63	55	28	49
131	39981	244	191	75	170
131	39981	44	44	25	38
131	39981	10	0	3	4
134	39981	177	227	133	179
135	39981	20	33	18	24
135	39981	57	38	40	45
135	39981	16	22	27	22
143	39981	13	3	1	6
145	39981	562	196	56	271
152	39981	36	13	4	18
156	39981	110	44	101	85
156	39981	6	2	9	6
164	39981	0	0	0	0
147A	39981	0	2	0	1
147A	39981	22	14	46	27
147A	39981	23	18	10	17
156	39982	77	87	94	86
156	39982	0	0	0	0
147A	39982	224	223	139	195
164T	39982	0	0	0	0
128	39983	926	487	217	543
129	39983	164	93	207	155
129	39983	138	117	63	106
129	39983	52	26	104	61
131	39983	61	58	39	53
131	39983	1199	60	102	454
131	39983	15	312	65	131
132	39983	578	401	281	420
133	39983	86	80	35	67
133	39983	151	947	1163	754
133	39983	75	235	115	142
153	39983	155	537	469	387
153	39983	100	66	196	121
153	39983	203	152	113	156
154	39983	614	133	102	283
143	39984	142	29	6	59
145	39984	423	216	329	323
159	39984	16	36	3	18
159	39984	36	12	6	18
126	39986	101	70	44	72
127	39986	62	70	31	54
127	39986	48	15	24	29
127	39986	58	39	45	47
128	39986	66	55	148	90
128	39986	66	55	148	90
129	39986	372	353	224	316
129	39986	116	103	120	113
129	39986	62	60	72	65
129	39986	372	353	224	316
129	39986	116	103	120	113
129	39986	62	60	72	65
132	39986	448	375	208	344
132	39986	293	159	112	188
133	39986	13	44	181	79
133	39986	384	186	141	237
133	39986	131	149	50	110
133	39986	25	17	41	28
133	39986	51	35	42	43
133	39986	51	23	26	33
143	39986	50	36	8	31
145	39986	15	3	0	6
153	39986	39	29	19	29
153	39986	15	6	4	8
153	39986	37	12	4	18
153	39986	39	29	19	29
153	39986	15	6	4	8
153	39986	37	12	4	18
154	39986	210	76	45	110
154	39986	210	76	45	110
147A	39986	132	70	88	97
147A	39986	14	13	7	11
147A	39986	7	17	17	14
147A	39986	29	10	30	23
164T	39986	0	0	0	0
164T	39986	0	0	0	0
131	39987	234	136	199	190
131	39987	13	6	2	7
131	39987	2	2	5	3
132	39987	5	1	1	2
133	39987	15	10	4	10
133	39987	21	26	30	26
133	39987	14	14	22	17
153	39987	83	20	18	40
153	39987	124	154	21	100
153	39987	34	76	31	47
154	39987	76	21	5	34
157	39987	44	45	23	37
159	39987	33	13	22	23
159	39987	27	28	18	24
164T	39987	0	0	0	0
164T	39987	2	0	0	1
126	39988	92	56	58	69
127	39988	131	149	55	112
127	39988	149	80	63	97
127	39988	22	26	12	20
134	39988	32	22	13	22
135	39988	24	19	12	18
135	39988	23	15	13	17
135	39988	10	7	2	6
152	39988	208	68	52	109
156	39988	92	27	73	64
156	39988	42	14	81	46
164	39988	0	0	0	0
164	39988	0	0	0	0
147A	39988	80	68	86	78
147A	39988	114	64	40	73
128	39989	147	96	43	95
129	39989	80	83	29	64
129	39989	52	14	5	24
129	39989	152	90	43	95
131	39989	26	13	13	17
131	39989	14	3	5	7
131	39989	29	22	48	33
134	39989	52	33	14	33
135	39989	50	41	27	39
135	39989	26	8	29	21
135	39989	39	52	7	33
143	39989	52	17	7	25
145	39989	66	73	11	50
152	39989	153	9	118	93
156	39989	30	50	104	61
156	39989	59	21	8	29
157	39989	165	187	172	175
147A	39989	16	5	4	8
147A	39989	53	180	76	103
165T	39989	0	0	0	0
165T	39989	0	0	0	0
126	39990	213	137	122	157
126	39990	1827	1657	915	1466
126	39990	186	171	130	162
127	39990	139	46	49	78
127	39990	60	14	11	28
127	39990	611	409	300	440
127	39990	80	124	58	87
127	39990	25	29	15	23
127	39990	50	49	50	50
127	39990	99	65	49	71
127	39990	62	29	45	45
127	39990	26	8	30	21
