Rm Date	TAMC
147A	39934	0
128	39935	1
129	39935	0
129	39935	0
129	39935	0
129	39935	2
134	39935	0
135	39935	0
135	39935	0
135	39935	0
135	39935	0
131	39937	0
131	39937	0
131	39937	0
133	39937	0
133	39937	0
126	39938	0
127	39938	0
127	39938	0
127	39938	0
157	39938	0
157	39938	0
157	39938	0
159	39938	0
159	39938	0
159	39938	0
159	39938	0
159	39938	0
159	39938	0
159	39938	0
159	39938	0
128	39940	0
129	39940	1
129	39940	0
129	39940	0
129	39940	1
134	39940	0
135	39940	0
135	39940	0
135	39940	0
135	39940	0
143	39941	0
152	39941	1
153	39941	0
153	39941	0
153	39941	0
153	39941	0
154	39941	1
156	39941	0
156	39941	0
147A	39941	0
147A	39941	0
147A	39941	0
147A	39941	0
147A	39941	0
164T	39941	0
164T	39941	0
164T	39941	0
164T	39941	0
143	39942	0
164T	39944	0
164T	39944	0
164T	39944	0
164T	39944	1
128	39945	0
129	39945	0
129	39945	0
129	39945	0
129	39945	0
131	39945	0
131	39945	0
131	39945	0
133	39945	0
133	39945	0
143	39945	0
143	39945	0
143	39945	0
153	39945	0
153	39945	0
153	39945	0
154	39945	0
164	39945	0
164	39945	0
164	39945	0
164	39945	0
164	39945	0
164	39945	0
164	39945	3
164	39945	1
147A	39945	1
147A	39945	0
147A	39945	0
147A	39945	0
147A	39945	0
147A	39945	0
147A	39945	0
147A	39945	0
147A	39945	0
147A	39945	0
164	39946	0
164	39946	0
164	39946	0
164	39946	0
164	39946	0
164	39946	0
147A	39946	0
147A	39946	0
147A	39946	0
147A	39946	0
147A	39946	0
147A	39946	0
147A	39946	0
147A	39946	0
147A	39946	0
147A	39946	0
126	39947	1
127	39947	0
127	39947	0
127	39947	0
152	39947	0
153	39947	0
153	39947	0
153	39947	0
154	39947	2
156	39947	1
156	39947	0
157	39947	0
157	39947	1
157	39947	0
159	39947	0
159	39947	0
159	39947	0
159	39947	0
159	39947	0
159	39947	0
159	39947	0
159	39947	0
164	39947	0
164	39947	0
164	39947	1
164	39947	1
164	39947	0
164	39947	0
164	39947	0
164	39947	0
164	39947	0
164	39947	0
164	39947	1
164	39947	1
147A	39947	0
147A	39947	0
147A	39947	0
147A	39947	0
147A	39947	0
147A	39947	2
147A	39947	0
147A	39947	0
147A	39947	4
147A	39947	0
147A	39947	0
147A	39947	0
147A	39947	0
147A	39947	0
147A	39947	0
147A	39947	2
147A	39947	0
147A	39947	0
147A	39947	4
147A	39947	0
128	39948	2
129	39948	0
129	39948	0
129	39948	0
129	39948	2
131	39948	0
131	39948	0
131	39948	0
134	39948	2
135	39948	0
135	39948	0
135	39948	0
135	39948	0
152	39948	4
156	39948	0
156	39948	0
143	39949	0
128	39951	0
129	39951	0
129	39951	0
129	39951	0
129	39951	0
131	39951	0
131	39951	0
131	39951	0
135	39951	0
135	39951	0
135	39951	0
135	39951	0
152	39951	0
152	39951	4
152	39951	0
156	39951	0
156	39951	0
156	39951	0
156	39951	0
126	39952	0
143	39952	2
145	39952	0
145	39952	0
145	39952	0
152	39952	0
156	39952	0
156	39952	0
128	39953	6
129	39953	0
129	39953	0
129	39953	0
129	39953	1
131	39953	0
131	39953	0
131	39953	0
133	39953	0
133	39953	0
153	39953	0
153	39953	0
153	39953	2
154	39953	0
126	39954	3
127	39954	0
127	39954	0
127	39954	0
133	39954	0
133	39954	0
133	39954	0
