Rm	Date	part_0.5
147	39931	4113
153	39931	0
156	39931	0
142	39932	38
142	39932	33
143	39932	851
144	39932	1144
144	39932	2153
144	39932	1749
144	39932	3138
144	39932	4925
144	39932	4743
146	39932	432
146	39932	1877
146	39932	166
146	39932	1799
146	39932	1796
146	39932	542
146	39933	1762
146	39933	311
146	39933	50
146	39933	719
146	39933	1660
146	39933	39
146	39933	1762
146	39933	3113
146	39933	55
142	39934	87
142	39934	0
143	39934	9386
144	39934	929
144	39934	2082
144	39934	1871
146	39934	565
146	39934	353
146	39934	26
146	39934	463
146	39934	1647
146	39934	54
158	39934	9
129	39935	0
135	39935	0
133	39937	0
142	39938	398
142	39938	438
142	39938	0
142	39938	7605
158	39938	232
129	39940	3
142	39940	575
142	39940	328
142	39940	0
142	39940	265
142	39940	300
142	39940	14
143	39941	2003
144	39941	0
144	39941	2132
144	39941	1129
146	39941	2197
146	39941	1578
146	39941	377
153	39941	0
153	39941	1
156	39941	0
143	39942	1007
144	39942	698
144	39942	2654
144	39942	467
129	39945	7
133	39945	0
142	39945	976
142	39945	877
144	39945	11359
144	39945	15622
144	39945	8625
146	39945	5522
146	39945	3923
146	39945	421
146	39945	549
146	39945	1997
146	39945	122
153	39945	0
146	39946	1043
146	39946	81
146	39946	161
146	39946	2239
146	39946	138
146	39946	3231
147	39946	5287
147	39946	4900
146	39947	835
146	39947	394
146	39947	336
146	39947	1651
146	39947	769
146	39947	138
146	39947	835
146	39947	394
146	39947	336
146	39947	1651
146	39947	769
146	39947	138
147	39947	2516
147	39947	4176
153	39947	0
156	39947	409
158	39947	302
129	39948	0
135	39948	0
156	39948	3
142	39949	152
142	39949	125
143	39949	498
144	39949	280
144	39949	910
144	39949	290
129	39951	0
135	39951	0
156	39951	10
142	39952	240
142	39952	105
143	39952	20167
144	39952	452
144	39952	1285
144	39952	707
129	39953	0
133	39953	0
153	39953	4
133	39954	0
133	39954	0
146	39954	3964
146	39954	3379
146	39954	783
146	39954	2862
146	39954	5413
146	39954	721
147	39954	5028
147	39954	2214
147	39954	2506
147	39954	1094
153	39954	0
158	39954	1436
135	39955	0
142	39955	730
142	39955	464
143	39955	1161
144	39955	948
144	39955	4319
144	39955	3132
153	39955	0
