GRP	ROOM	CLASS	DATE	MEAS	PARAM	SITE	BLOCK	REP	RES
FF	505	ISO8	2/10/2012	TP	0.5	A3	1	1	60
FF	505	ISO8	2/16/2012	TP	0.5	A3	1	1	2
FF	505	ISO8	2/20/2012	TP	0.5	A3	1	1	18
FF	505	ISO8	3/4/2012	TP	0.5	A3	1	1	1
FF	505	ISO8	3/6/2012	TP	0.5	A3	1	1	0
FF	505	ISO8	3/12/2012	TP	0.5	A3	1	1	9
FF	505	ISO8	3/24/2012	TP	0.5	A3	1	1	50
FF	505	ISO8	3/30/2012	TP	0.5	A3	1	1	329
FF	505	ISO8	1/5/2012	TP	5	A3	1	1	0
FF	505	ISO8	1/9/2012	TP	5	A3	1	1	4
FF	505	ISO8	1/19/2012	TP	5	A3	1	1	0
FF	505	ISO8	1/27/2012	TP	5	A3	1	1	1
FF	505	ISO8	1/30/2012	TP	5	A3	1	1	0
FF	505	ISO8	2/10/2012	TP	5	A3	1	1	2
FF	505	ISO8	2/16/2012	TP	5	A3	1	1	1
FF	505	ISO8	2/20/2012	TP	5	A3	1	1	4
FF	505	ISO8	3/4/2012	TP	5	A3	1	1	0
FF	505	ISO8	3/6/2012	TP	5	A3	1	1	0
FF	505	ISO8	3/12/2012	TP	5	A3	1	1	0
FF	505	ISO8	3/24/2012	TP	5	A3	1	1	7
FF	505	ISO8	3/30/2012	TP	5	A3	1	1	0
FF	505	ISO8	1/5/2012	TP	0.5	A3	1	2	39
FF	505	ISO8	1/9/2012	TP	0.5	A3	1	2	5
FF	505	ISO8	1/19/2012	TP	0.5	A3	1	2	0
FF	505	ISO8	1/27/2012	TP	0.5	A3	1	2	7
FF	505	ISO8	1/30/2012	TP	0.5	A3	1	2	1
FF	505	ISO8	2/10/2012	TP	0.5	A3	1	2	80
FF	505	ISO8	2/16/2012	TP	0.5	A3	1	2	2
FF	505	ISO8	2/20/2012	TP	0.5	A3	1	2	17
FF	505	ISO8	3/4/2012	TP	0.5	A3	1	2	0
FF	505	ISO8	3/6/2012	TP	0.5	A3	1	2	1
FF	505	ISO8	3/12/2012	TP	0.5	A3	1	2	11
FF	505	ISO8	3/24/2012	TP	0.5	A3	1	2	17
FF	505	ISO8	3/30/2012	TP	0.5	A3	1	2	84
FF	505	ISO8	1/5/2012	TP	5	A3	1	2	1
FF	505	ISO8	1/9/2012	TP	5	A3	1	2	1
FF	505	ISO8	1/19/2012	TP	5	A3	1	2	0
FF	505	ISO8	1/27/2012	TP	5	A3	1	2	0
FF	505	ISO8	1/30/2012	TP	5	A3	1	2	1
FF	505	ISO8	2/10/2012	TP	5	A3	1	2	12
FF	505	ISO8	2/16/2012	TP	5	A3	1	2	1
FF	505	ISO8	2/20/2012	TP	5	A3	1	2	2
FF	505	ISO8	3/4/2012	TP	5	A3	1	2	0
FF	505	ISO8	3/6/2012	TP	5	A3	1	2	0
FF	505	ISO8	3/12/2012	TP	5	A3	1	2	3
FF	505	ISO8	3/24/2012	TP	5	A3	1	2	6
FF	505	ISO8	3/30/2012	TP	5	A3	1	2	4
FF	505	ISO8	1/5/2012	TP	0.5	A3	1	3	79
FF	505	ISO8	1/9/2012	TP	0.5	A3	1	3	6
FF	505	ISO8	1/19/2012	TP	0.5	A3	1	3	0
FF	505	ISO8	1/27/2012	TP	0.5	A3	1	3	2
FF	505	ISO8	1/30/2012	TP	0.5	A3	1	3	0
