Rm	Date	Read1	Read2	Read3	Mean
127	05/26/09	5	2	2	3
127	05/26/09	32	58	59	50
128	05/26/09	11	1	1	4
128	05/26/09	11	1	1	4
129	05/26/09	9	14	2	8
129	05/26/09	16	20	20	19
129	05/26/09	1	2	0	1
129	05/26/09	9	14	2	8
129	05/26/09	16	20	20	19
129	05/26/09	1	2	0	1
131	05/26/09	112	63	10	62
131	05/26/09	6	8	15	10
131	05/26/09	54	7	1	21
134	05/26/09	120	42	31	64
135	05/26/09	18	14	6	13
135	05/26/09	13	24	21	19
135	05/26/09	8	9	3	7
156	05/26/09	122	18	88	76
156	05/26/09	50	70	8	43
164	05/26/09	2	0	0	1
147A	05/26/09	290	53	40	128
128	05/28/09	169	112	87	123
129	05/28/09	277	168	256	234
129	05/28/09	84	18	49	50
129	05/28/09	42	39	67	49
131	05/28/09	28	26	38	31
131	05/28/09	95	56	58	70
131	05/28/09	76	101	117	98
132	05/28/09	72	100	213	128
133	05/28/09	46	38	120	68
133	05/28/09	99	51	98	83
133	05/28/09	217	252	80	183
143	05/28/09	3232	3576	1577	2795
145	05/28/09	58	45	28	44
153	05/28/09	68	74	20	54
153	05/28/09	40	16	9	22
153	05/28/09	216	85	46	116
154	05/28/09	289	84	102	158
157	05/28/09	20	17	7	15
159	05/28/09	4	0	0	1
159	05/28/09	0	0	0	0
126	05/29/09	139	91	64	98
127	05/29/09	50	22	50	41
127	05/29/09	37	10	3	17
127	05/29/09	3	1	1	2
132	05/29/09	148	120	108	125
133	05/29/09	85	86	23	65
133	05/29/09	118	79	32	76
133	05/29/09	22	24	33	26
134	05/29/09	117	48	24	63
135	05/29/09	24	9	79	37
135	05/29/09	102	28	51	60
135	05/29/09	81	63	135	93
143	05/29/09	21591	7148	2261	10333
145	05/29/09	137	64	36	79
152	05/29/09	191	54	109	118
156	05/29/09	63	48	8	40
156	05/29/09	63	8	0	24
157	05/29/09	826	30	10	289
159	05/29/09	94	5	176	92
159	05/29/09	0	0	0	0
134	05/30/09	178	92	59	110
135	05/30/09	126	135	61	107
135	05/30/09	13	17	33	21
135	05/30/09	22	12	24	19
128	06/01/09	82	32	43	52
129	06/01/09	71	39	50	53
129	06/01/09	21	59	266	115
129	06/01/09	230	183	76	163
134	06/01/09	90	45	24	53
135	06/01/09	11	6	2	6
135	06/01/09	21	15	12	16
135	06/01/09	7	2	23	11
152	06/01/09	22	328	172	174
156	06/01/09	266	32	24	107
156	06/01/09	1	1	34	12
164	06/01/09	0	0	0	0
164	06/01/09	0	0	2	1
147A	06/01/09	22	12	8	14
147A	06/01/09	15	9	5	10
164	06/02/09	0	0	0	0
164	06/02/09	0	4	14	6
147A	06/02/09	73	84	65	74
147A	06/02/09	147	108	65	107
128	06/03/09	76	52	38	55
129	06/03/09	63	57	152	91
129	06/03/09	7	12	21	13
129	06/03/09	158	87	180	142
131	06/03/09	97	372	226	232
131	06/03/09	11	6	5	7
131	06/03/09	3	0	0	1
132	06/03/09	148	80	65	98
133	06/03/09	38	38	35	37
133	06/03/09	16	37	44	32
133	06/03/09	18	9	0	9
153	06/03/09	38	36	59	44
153	06/03/09	174	129	65	123
153	06/03/09	142	92	32	89
154	06/03/09	167	23	17	69
164	06/03/09	4	0	0	1
164	06/03/09	3	0	0	1
147A	06/03/09	86	22	68	59
147A	06/03/09	125	37	57	73
126	06/04/09	224	146	91	154
127	06/04/09	50	39	25	38
127	06/04/09	24	9	4	12
127	06/04/09	26	39	51	39
132	06/04/09	83	22	54	53
133	06/04/09	108	43	20	57
133	06/04/09	51	24	51	42
133	06/04/09	104	110	77	97
143	06/04/09	28	7	6	14
145	06/04/09	26	38	134	66
153	06/04/09	259	55	22	112
153	06/04/09	44	38	52	45
153	06/04/09	31	28	25	28
154	06/04/09	61	45	18	41
157	06/04/09	20	14	1	12
159	06/04/09	18	25	2	15
159	06/04/09	35	1	0	12
164	06/04/09	8	87	0	32
164	06/04/09	0	0	0	0
147A	06/04/09	108	3	15	42
147A	06/04/09	29	13	9	17
126	06/05/09	68	56	24	49
127	06/05/09	13	21	14	16
127	06/05/09	9	5	10	8
127	06/05/09	3	2	1	2
134	06/05/09	207	38	43	96
135	06/05/09	3	9	8	7
135	06/05/09	10	6	9	8
135	06/05/09	19	18	18	18
152	06/05/09	128	170	199	166
156	06/05/09	6	2	2	3
156	06/05/09	2	0	7	3
157	06/05/09	15	6	3	8
159	06/05/09	20	2	0	7
159	06/05/09	0	0	0	0
164	06/05/09	0	0	0	0
164	06/05/09	0	0	0	0
147A	06/05/09	11	1	2	5
147A	06/05/09	19	16	10	15
143	06/06/09	142	41	51	78
145	06/06/09	440	200	49	230
126	06/08/09	183	140	340	221
127	06/08/09	35	28	9	24
127	06/08/09	73	44	18	45
127	06/08/09	30	12	17	20
134	06/08/09	43	13	12	23
135	06/08/09	6	4	3	4
135	06/08/09	23	5	6	11
135	06/08/09	31	12	22	22
145	06/08/09	743	410	306	486
152	06/08/09	45	113	141	100
156	06/08/09	579	175	40	265
156	06/08/09	32	27	1	20
157	06/08/09	2	2	0	1
159	06/08/09	872	496	246	538
159	06/08/09	34	51	56	47
164	06/08/09	0	3	0	1
164	06/08/09	3	0	1	1
147A	06/08/09	276	161	130	189
147A	06/08/09	269	208	199	225
147A	06/08/09	38	34	94	55
147A	06/08/09	38	34	94	55
128	06/09/09	213	144	129	162
129	06/09/09	39	37	18	31
129	06/09/09	9	7	18	11
129	06/09/09	17	15	81	38
131	06/09/09	32	34	28	31
131	06/09/09	24	206	15	82
131	06/09/09	11	9	2	7
134	06/09/09	26	71	56	51
135	06/09/09	84	31	54	56
135	06/09/09	19	16	14	16
135	06/09/09	19	9	9	12
152	06/09/09	74	45	119	79
156	06/09/09	10	21	16	16
156	06/09/09	85	65	24	58
164	06/09/09	0	0	0	0
147A	06/09/09	65	15	9	30
143	06/10/09	112	40	34	62
145	06/10/09	253	95	34	127
128	06/11/09	281	74	74	143
129	06/11/09	89	262	154	168
129	06/11/09	20	34	67	40
129	06/11/09	30	9	5	15
131	06/11/09	65	7	3	25
131	06/11/09	194	98	68	120
131	06/11/09	248	81	16	115
132	06/11/09	90	67	46	68
133	06/11/09	205	80	29	105
133	06/11/09	77	57	57	64
133	06/11/09	22	66	62	50
153	06/11/09	70	78	24	57
153	06/11/09	17	31	25	24
153	06/11/09	7	88	9	35
154	06/11/09	20	44	31	32
126	06/12/09	134	214	267	205
127	06/12/09	26	10	5	14
127	06/12/09	73	8	15	32
127	06/12/09	10	4	38	17
132	06/12/09	414	416	890	573
133	06/12/09	6	6	7	6
133	06/12/09	13	34	64	37
133	06/12/09	66	15	13	31
153	06/12/09	121	50	178	116
153	06/12/09	16	41	10	22
153	06/12/09	21	20	30	24
154	06/12/09	396	328	67	264
157	06/12/09	222	119	30	124
159	06/12/09	2	1	0	1
159	06/12/09	0	0	0	0
164	06/12/09	0	0	0	0
164	06/12/09	0	0	0	0
147A	06/12/09	266	94	67	142
147A	06/12/09	68	84	35	62
147A	06/12/09	53	40	6	33
147A	06/12/09	269	148	67	161
143	06/13/09	30	35	27	31
145	06/13/09	119	33	14	55
126	06/15/09	117	150	113	127
127	06/15/09	56	20	9	28
127	06/15/09	23	74	78	58
127	06/15/09	99	36	28	54
132	06/15/09	248	98	45	130
133	06/15/09	11	46	4	20
133	06/15/09	11	42	97	50
133	06/15/09	7	9	7	8
153	06/15/09	150	30	59	80
153	06/15/09	13	20	9	14
153	06/15/09	21	11	30	21
154	06/15/09	309	83	36	143
157	06/15/09	13	1	3	6
159	06/15/09	0	0	0	0
159	06/15/09	10	4	2	5
147A	06/15/09	365	155	46	189
147A	06/15/09	85	26	14	42
164T	06/15/09	0	0	0	0
164T	06/15/09	0	0	0	0
134	06/16/09	453	153	76	227
135	06/16/09	33	39	15	29
135	06/16/09	29	67	50	49
135	06/16/09	2	24	17	14
157	06/16/09	90	103	71	88
164	06/16/09	0	0	0	0
164	06/16/09	0	0	0	0
147A	06/16/09	26	28	17	24
147A	06/16/09	43	35	53	44
126	06/17/09	185	87	129	134
127	06/17/09	737	365	59	387
127	06/17/09	57	70	44	57
127	06/17/09	14	12	20	15
128	06/17/09	155	81	67	101
129	06/17/09	43	56	125	75
129	06/17/09	20	3	3	9
129	06/17/09	63	55	28	49
131	06/17/09	244	191	75	170
131	06/17/09	44	44	25	38
131	06/17/09	10	0	3	4
134	06/17/09	177	227	133	179
135	06/17/09	20	33	18	24
135	06/17/09	57	38	40	45
135	06/17/09	16	22	27	22
143	06/17/09	13	3	1	6
145	06/17/09	562	196	56	271
152	06/17/09	36	13	4	18
156	06/17/09	110	44	101	85
156	06/17/09	6	2	9	6
164	06/17/09	0	0	0	0
147A	06/17/09	0	2	0	1
147A	06/17/09	22	14	46	27
147A	06/17/09	23	18	10	17
156	06/18/09	77	87	94	86
156	06/18/09	0	0	0	0
147A	06/18/09	224	223	139	195
164T	06/18/09	0	0	0	0
128	06/19/09	926	487	217	543
129	06/19/09	164	93	207	155
129	06/19/09	138	117	63	106
129	06/19/09	52	26	104	61
131	06/19/09	61	58	39	53
131	06/19/09	1199	60	102	454
131	06/19/09	15	312	65	131
132	06/19/09	578	401	281	420
133	06/19/09	86	80	35	67
133	06/19/09	151	947	1163	754
133	06/19/09	75	235	115	142
153	06/19/09	155	537	469	387
153	06/19/09	100	66	196	121
153	06/19/09	203	152	113	156
154	06/19/09	614	133	102	283
143	06/20/09	142	29	6	59
145	06/20/09	423	216	329	323
159	06/20/09	16	36	3	18
159	06/20/09	36	12	6	18
126	06/22/09	101	70	44	72
127	06/22/09	62	70	31	54
127	06/22/09	48	15	24	29
127	06/22/09	58	39	45	47
128	06/22/09	66	55	148	90
128	06/22/09	66	55	148	90
129	06/22/09	372	353	224	316
129	06/22/09	116	103	120	113
129	06/22/09	62	60	72	65
129	06/22/09	372	353	224	316
129	06/22/09	116	103	120	113
129	06/22/09	62	60	72	65
132	06/22/09	448	375	208	344
132	06/22/09	293	159	112	188
133	06/22/09	13	44	181	79
133	06/22/09	384	186	141	237
133	06/22/09	131	149	50	110
133	06/22/09	25	17	41	28
133	06/22/09	51	35	42	43
133	06/22/09	51	23	26	33
143	06/22/09	50	36	8	31
145	06/22/09	15	3	0	6
153	06/22/09	39	29	19	29
153	06/22/09	15	6	4	8
153	06/22/09	37	12	4	18
153	06/22/09	39	29	19	29
153	06/22/09	15	6	4	8
153	06/22/09	37	12	4	18
154	06/22/09	210	76	45	110
154	06/22/09	210	76	45	110
147A	06/22/09	132	70	88	97
147A	06/22/09	14	13	7	11
147A	06/22/09	7	17	17	14
147A	06/22/09	29	10	30	23
164T	06/22/09	0	0	0	0
164T	06/22/09	0	0	0	0
131	06/23/09	234	136	199	190
131	06/23/09	13	6	2	7
131	06/23/09	2	2	5	3
132	06/23/09	5	1	1	2
133	06/23/09	15	10	4	10
133	06/23/09	21	26	30	26
133	06/23/09	14	14	22	17
153	06/23/09	83	20	18	40
153	06/23/09	124	154	21	100
153	06/23/09	34	76	31	47
154	06/23/09	76	21	5	34
157	06/23/09	44	45	23	37
159	06/23/09	33	13	22	23
159	06/23/09	27	28	18	24
164T	06/23/09	0	0	0	0
164T	06/23/09	2	0	0	1
126	06/24/09	92	56	58	69
127	06/24/09	131	149	55	112
127	06/24/09	149	80	63	97
127	06/24/09	22	26	12	20
134	06/24/09	32	22	13	22
135	06/24/09	24	19	12	18
135	06/24/09	23	15	13	17
135	06/24/09	10	7	2	6
152	06/24/09	208	68	52	109
156	06/24/09	92	27	73	64
156	06/24/09	42	14	81	46
164	06/24/09	0	0	0	0
164	06/24/09	0	0	0	0
147A	06/24/09	80	68	86	78
147A	06/24/09	114	64	40	73
128	06/25/09	147	96	43	95
129	06/25/09	80	83	29	64
129	06/25/09	52	14	5	24
129	06/25/09	152	90	43	95
131	06/25/09	26	13	13	17
131	06/25/09	14	3	5	7
131	06/25/09	29	22	48	33
134	06/25/09	52	33	14	33
135	06/25/09	50	41	27	39
135	06/25/09	26	8	29	21
135	06/25/09	39	52	7	33
143	06/25/09	52	17	7	25
145	06/25/09	66	73	11	50
152	06/25/09	153	9	118	93
156	06/25/09	30	50	104	61
156	06/25/09	59	21	8	29
157	06/25/09	165	187	172	175
147A	06/25/09	16	5	4	8
147A	06/25/09	53	180	76	103
165T	06/25/09	0	0	0	0
165T	06/25/09	0	0	0	0
126	06/26/09	213	137	122	157
126	06/26/09	1827	1657	915	1466
126	06/26/09	186	171	130	162
127	06/26/09	139	46	49	78
127	06/26/09	60	14	11	28
127	06/26/09	611	409	300	440
127	06/26/09	80	124	58	87
127	06/26/09	25	29	15	23
127	06/26/09	50	49	50	50
127	06/26/09	99	65	49	71
127	06/26/09	62	29	45	45
127	06/26/09	26	8	30	21
147A	06/26/09	55	49	7	37
147A	06/26/09	35	26	8	23
165T	06/26/09	0	0	0	0
165T	06/26/09	1	0	0	0
131	06/29/09	16	356	57	143
131	06/29/09	46	73	34	51
131	06/29/09	75	70	40	62
147A	06/29/09	24	11	3	13
147A	06/29/09	12	91	26	43
147A	06/29/09	15	7	5	9
147A	06/29/09	252	118	66	145
164T	06/29/09	0	0	0	0
164T	06/29/09	0	0	0	0
126	06/30/09	174	208	115	166
126	06/30/09	750	362	243	452
